,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,logNumVotes,FilmRating
145929,tt0978762,movie,Mary and Max,Mary and Max.,0,2009,\N,92,"Animation,Comedy,Drama",0.8099999999999999,181664,0.8164312436156149,6.61309307328648
52153,tt0094625,movie,Akira,Akira,0,1988,\N,124,"Action,Animation,Drama",0.8,195171,0.8212663084833459,6.570130467866768
239292,tt3521164,movie,Moana,Moana,0,2016,\N,107,"Adventure,Animation,Comedy",0.76,355255,0.8616472265044284,6.548518921433656
48063,tt0087544,movie,Nausicaä of the Valley of the Wind,Kaze no tani no Naushika,0,1984,\N,117,"Adventure,Animation,Sci-Fi",0.8,175087,0.8139451332651965,6.511561066121572
50714,tt0092067,movie,Castle in the Sky,Tenkû no shiro Rapyuta,0,1986,\N,125,"Adventure,Animation,Family",0.8,173203,0.8132157552341823,6.505726041873459
240478,tt3606756,movie,Incredibles 2,Incredibles 2,0,2018,\N,118,"Action,Adventure,Animation",0.76,313134,0.85313871025033,6.483854197902508
205991,tt1979376,movie,Toy Story 4,Toy Story 4,0,2019,\N,100,"Adventure,Animation,Comedy",0.77,264903,0.841861800613684,6.482335864725367
65877,tt0120762,movie,Mulan,Mulan,0,1998,\N,87,"Adventure,Animation,Comedy",0.76,301624,0.8506138901570326,6.464665565193448
115880,tt0327597,movie,Coraline,Coraline,0,2009,\N,100,"Animation,Drama,Family",0.77,245631,0.8367694642972944,6.4431248750891665
110472,tt0298148,movie,Shrek 2,Shrek 2,0,2004,\N,93,"Adventure,Animation,Comedy",0.73,484357,0.8825460187756947,6.442585937062572
54009,tt0097757,movie,The Little Mermaid,The Little Mermaid,0,1989,\N,83,"Adventure,Animation,Family",0.76,279512,0.8454809226721628,6.425655012308438
256763,tt5104604,movie,Isle of Dogs,Isle of Dogs,0,2018,\N,101,"Adventure,Animation,Comedy",0.78,180142,0.8158640256229476,6.363739399858991
195089,tt1690953,movie,Despicable Me 2,Despicable Me 2,0,2013,\N,98,"Adventure,Animation,Comedy",0.73,412504,0.8717202163725871,6.363557579519886
76227,tt0158983,movie,"South Park: Bigger, Longer & Uncut","South Park: Bigger, Longer & Uncut",0,1999,\N,81,"Animation,Comedy,Fantasy",0.77,210440,0.8263445656807232,6.362853155741569
53293,tt0096438,movie,Who Framed Roger Rabbit,Who Framed Roger Rabbit,0,1988,\N,104,"Adventure,Animation,Comedy",0.77,209312,0.8259822176377538,6.360063075810705
62241,tt0113568,movie,Ghost in the Shell,Kôkaku kidôtai,0,1995,\N,83,"Action,Animation,Crime",0.79,149520,0.8033029452811998,6.3460932677214785
244418,tt3915174,movie,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,0,2022,\N,102,"Adventure,Animation,Comedy",0.79,140169,0.7989489745108328,6.31169689863558
113955,tt0317219,movie,Cars,Cars,0,2006,\N,117,"Adventure,Animation,Comedy",0.72,443131,0.8765486920551019,6.311150582796733
54046,tt0097814,movie,Kiki's Delivery Service,Majo no takkyûbin,0,1989,\N,103,"Animation,Family,Fantasy",0.78,153495,0.805071858259262,6.279560494422244
9327,tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,\N,83,"Adventure,Animation,Family",0.76,207243,0.8253124868571639,6.272374900114446
135099,tt0462538,movie,The Simpsons Movie,The Simpsons Movie,0,2007,\N,87,"Adventure,Animation,Comedy",0.73,340199,0.8587276651330502,6.268711955471266
259345,tt5323662,movie,A Silent Voice: The Movie,Koe no katachi,0,2016,\N,130,"Animation,Drama",0.8099999999999999,91361,0.770091859484031,6.23774406182065
31840,tt0061852,movie,The Jungle Book,The Jungle Book,0,1967,\N,78,"Adventure,Animation,Comedy",0.76,191225,0.8198892635662951,6.2311584031038425
181003,tt1453405,movie,Monsters University,Monsters University,0,2013,\N,104,"Adventure,Animation,Comedy",0.72,374037,0.8651205479622304,6.228867945328059
163371,tt1217209,movie,Brave,Brave,0,2012,\N,93,"Adventure,Animation,Comedy",0.71,426210,0.8739238736303844,6.204859502775729
141016,tt0808417,movie,Persepolis,Persepolis,0,2007,\N,96,"Animation,Biography,Drama",0.8,97485,0.7744659548384217,6.195727638707375
217334,tt2277860,movie,Finding Dory,Finding Dory,0,2016,\N,97,"Adventure,Animation,Comedy",0.73,289295,0.8478002310605216,6.188941686741808
66023,tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,"Animation,Drama,Family",0.73,285608,0.8469354760918931,6.18262897547082
146637,tt1001526,movie,Megamind,Megamind,0,2010,\N,95,"Action,Animation,Comedy",0.73,279172,0.8453988646044944,6.171411711612809
154910,tt11032374,movie,Demon Slayer the Movie: Mugen Train,Kimetsu no Yaiba: Mugen Ressha-Hen,0,2020,\N,117,"Action,Adventure,Animation",0.82,65982,0.7481514312692356,6.134841736407731
248686,tt4302938,movie,Kubo and the Two Strings,Kubo and the Two Strings,0,2016,\N,101,"Action,Adventure,Animation",0.77,134470,0.7961505902844347,6.130359545190148
65783,tt0120623,movie,A Bug's Life,A Bug's Life,0,1998,\N,95,"Adventure,Animation,Comedy",0.72,303601,0.8510543434933349,6.127591273152011
65982,tt0120917,movie,The Emperor's New Groove,The Emperor's New Groove,0,2000,\N,78,"Adventure,Animation,Comedy",0.74,214660,0.8276831451566274,6.124855274159043
75674,tt0156887,movie,Perfect Blue,Pâfekuto burû,0,1997,\N,81,"Animation,Crime,Drama",0.8,85274,0.7654434209506374,6.1235473676051
169169,tt1302011,movie,Kung Fu Panda 2,Kung Fu Panda 2,0,2011,\N,90,"Action,Adventure,Animation",0.72,301057,0.8504870361366413,6.123506660183818
143460,tt0876563,movie,Ponyo,Gake no ue no Ponyo,0,2008,\N,101,"Adventure,Animation,Comedy",0.76,152364,0.8045732587242063,6.114756766303968
64988,tt0119282,movie,Hercules,Hercules,0,1997,\N,93,"Adventure,Animation,Comedy",0.73,243163,0.8360886455143928,6.103447112255067
146023,tt0983193,movie,The Adventures of Tintin,The Adventures of Tintin,0,2011,\N,107,"Action,Adventure,Animation",0.73,237538,0.8345107586021935,6.0919285377960115
65940,tt0120855,movie,Tarzan,Tarzan,0,1999,\N,88,"Adventure,Animation,Comedy",0.73,236813,0.8343046732744096,6.09042411490319
161887,tt1192628,movie,Rango,Rango,0,2011,\N,107,"Action,Adventure,Animation",0.72,280773,0.8457843923986723,6.08964762527044
11560,tt0032910,movie,Pinocchio,Pinocchio,0,1940,\N,88,"Adventure,Animation,Comedy",0.75,153677,0.805151749352192,6.03863812014144
