,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
118326,"I, Robot",0,2004,115,"Action,Mystery,Sci-Fi",6.333
129463,Transformers,0,2007,144,"Action,Adventure,Sci-Fi",6.322
180616,Prometheus,0,2012,124,"Adventure,Mystery,Sci-Fi",6.298
221633,Predestination,0,2014,97,"Action,Drama,Sci-Fi",6.279
40971,Close Encounters of the Third Kind,0,1977,138,"Drama,Sci-Fi",6.278
63652,Independence Day,0,1996,145,"Action,Adventure,Sci-Fi",6.271
64779,Dark City,0,1998,100,"Fantasy,Mystery,Sci-Fi",6.269
96362,Equilibrium,0,2002,107,"Action,Drama,Sci-Fi",6.268
145106,The Amazing Spider-Man,0,2012,136,"Action,Adventure,Sci-Fi",6.246
50079,The Fly,0,1986,96,"Drama,Horror,Sci-Fi",6.234
122734,Jurassic World,0,2015,124,"Action,Adventure,Sci-Fi",6.234
183096,Oblivion,0,2013,124,"Action,Adventure,Sci-Fi",6.229
45184,The Road Warrior,0,1981,96,"Action,Adventure,Sci-Fi",6.22
65540,Starship Troopers,0,1997,129,"Action,Adventure,Sci-Fi",6.218
36877,Solaris,0,1972,167,"Drama,Mystery,Sci-Fi",6.182
131950,Alita: Battle Angel,0,2019,122,"Action,Adventure,Sci-Fi",6.175
271360,Upgrade,0,2018,100,"Action,Sci-Fi,Thriller",6.159
91200,A.I. Artificial Intelligence,0,2001,146,"Drama,Sci-Fi",6.147
195820,Snowpiercer,0,2013,126,"Action,Drama,Sci-Fi",6.142
193986,Pacific Rim,0,2013,131,"Action,Adventure,Sci-Fi",6.119
173955,Passengers,0,2016,116,"Drama,Romance,Sci-Fi",6.115
131474,Real Steel,0,2011,127,"Action,Drama,Sci-Fi",6.101
46435,Star Trek II: The Wrath of Khan,0,1982,113,"Action,Adventure,Sci-Fi",6.096
246990,Captain Marvel,0,2019,123,"Action,Adventure,Sci-Fi",6.087
143671,The Mist,0,2007,126,"Horror,Sci-Fi,Thriller",6.075
133914,Deja Vu,0,2006,126,"Action,Crime,Sci-Fi",6.066
6022,King Kong,0,1933,100,"Adventure,Horror,Sci-Fi",6.065
104441,K-PAX,0,2001,120,"Drama,Mystery,Sci-Fi",6.061
237335,X-Men: Apocalypse,0,2016,144,"Action,Adventure,Sci-Fi",6.053
133266,Sunshine,0,2007,107,"Sci-Fi,Thriller",6.049
42544,Superman,0,1978,143,"Action,Adventure,Sci-Fi",6.042
193535,Super 8,0,2011,112,"Action,Mystery,Sci-Fi",6.04
285130,A Quiet Place Part II,0,2020,97,"Drama,Horror,Sci-Fi",6.036
65776,Blade,0,1998,120,"Action,Horror,Sci-Fi",6.014
173025,Dredd,0,2012,95,"Action,Crime,Sci-Fi",6.011
80933,Galaxy Quest,0,1999,102,"Adventure,Comedy,Sci-Fi",6.01
199289,The Maze Runner,0,2014,113,"Action,Mystery,Sci-Fi",6.004
238469,The Lobster,0,2015,119,"Drama,Romance,Sci-Fi",5.99
125196,G.O.R.A.,0,2004,127,"Adventure,Comedy,Sci-Fi",5.976
18781,The Day the Earth Stood Still,0,1951,92,"Drama,Sci-Fi",5.962
242708,Solo: A Star Wars Story,0,2018,135,"Action,Adventure,Sci-Fi",5.956
97178,The Matrix Revolutions,0,2003,129,"Action,Sci-Fi",5.952
67022,Cube,0,1997,90,"Horror,Mystery,Sci-Fi",5.93
4724,Frankenstein,0,1931,70,"Drama,Horror,Sci-Fi",5.91
179269,The Wolverine,0,2013,126,"Action,Sci-Fi",5.909
175971,The Adjustment Bureau,0,2011,106,"Romance,Sci-Fi,Thriller",5.89
107819,Signs,0,2002,106,"Drama,Mystery,Sci-Fi",5.883
195812,Chronicle,0,2012,89,"Action,Drama,Sci-Fi",5.88
226800,Star Trek Beyond,0,2016,122,"Action,Adventure,Sci-Fi",5.871
65762,Armageddon,0,1998,151,"Action,Adventure,Sci-Fi",5.868
284487,The Platform,0,2019,94,"Horror,Sci-Fi,Thriller",5.864
123954,X-Men: The Last Stand,0,2006,104,"Action,Adventure,Sci-Fi",5.864
70296,Pitch Black,0,2000,109,"Action,Horror,Sci-Fi",5.862
192876,In Time,0,2011,109,"Action,Sci-Fi,Thriller",5.855
