,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
26611,"Totò, Fabrizi e i giovani d'oggi",0,1960,96,"Comedy,Romance",2.7585629805103764
51092,Cross My Heart,0,1987,90,"Comedy,Romance",2.7583139654916202
161250,Finding Bliss,0,2009,96,"Comedy,Romance",2.7574788783418165
31360,Three on a Couch,0,1966,109,"Comedy,Romance",2.7561081291444314
45545,The Rooster,0,1981,97,"Comedy,Romance",2.7559552212468197
58556,Making Up!,0,1993,55,"Comedy,Romance",2.755797092478076
209789,Maybe I Do,0,2023,95,"Comedy,Romance",2.7543242206817515
9746,Having Wonderful Time,0,1938,70,"Comedy,Romance",2.7538811971253265
263516,Voor elkaar gemaakt,0,2017,93,"Comedy,Romance",2.7535576176925587
256288,The Wilde Wedding,0,2017,95,"Comedy,Romance",2.7535557436950753
179855,Hear Me Out,0,2021,93,"Comedy,Romance",2.7521497514763076
244211,Temps,0,2016,95,"Comedy,Romance",2.7511274373233774
153969,School's Out,0,2008,93,"Comedy,Romance",2.751113393314041
49640,All the Fault of Paradise,0,1985,102,"Comedy,Romance",2.7507901113733926
4359,Not So Dumb,0,1930,76,"Comedy,Romance",2.7495994290743866
47427,Stroker Ace,0,1983,96,"Action,Comedy,Romance",2.7489032938600677
81835,Women Talking Dirty,0,1999,97,"Comedy,Romance",2.7485478681754043
238547,Bride for Rent,0,2014,115,"Comedy,Romance",2.748381688832316
65142,Little City,0,1997,90,"Comedy,Romance",2.7468261775861658
285977,Neither with You,0,2019,90,"Comedy,Romance",2.7438892014742904
46678,Blondinka za uglom,0,1984,83,"Comedy,Romance",2.743373913787324
231149,How to Use Guys with Secret Tips,0,2013,116,"Comedy,Romance",2.7425198027025384
108264,God Is Great and I'm Not,0,2001,95,"Comedy,Romance",2.7423595872084694
5944,Goodbye Again,0,1933,66,"Comedy,Romance",2.74175540733254
30257,Marriage on the Rocks,0,1965,109,"Comedy,Romance",2.741525056247571
185255,My Fake Boyfriend,0,2022,100,"Comedy,Romance",2.7415158424681776
128841,Cake,0,2005,94,"Comedy,Romance",2.7411778283724484
82803,Golpe de estadio,0,1998,105,"Comedy,Romance,Sport",2.740081627452539
141315,Spring Breakdown,0,2009,84,"Comedy,Romance",2.7395682139116713
79113,"Rats ginakhavs, vegar nakhav",0,1965,85,"Comedy,Romance",2.7384782754148196
244672,We Are Pregnant,0,2016,100,"Comedy,Romance",2.7368395089244277
163409,Just a Father,0,2008,89,"Comedy,Romance",2.7367817701833697
257771,"She Remembers, He Forgets",0,2015,108,"Comedy,Romance",2.736317026889832
219163,Hank and Asha,0,2013,73,"Comedy,Romance",2.7348802221838433
8352,Piccadilly Jim,0,1936,95,"Comedy,Romance",2.7339745525585823
46080,The Pool Hustlers,0,1983,103,"Comedy,Romance",2.7326851492655386
66731,Among Giants,0,1998,94,"Comedy,Romance",2.7318649949730816
8618,Wedding Present,0,1936,81,"Comedy,Romance",2.731692866811132
247267,Opposites Attract,0,2015,90,"Comedy,Romance",2.730486621761885
204176,Manmadha Leelai,0,2022,111,"Comedy,Romance,Thriller",2.728042782293332
52188,Arthur 2: On the Rocks,0,1988,113,"Comedy,Romance",2.7278213635899573
48129,Making the Grade,0,1984,105,"Comedy,Romance",2.7272442413571474
260514,I Married a Dumbass,0,2016,100,"Comedy,Romance",2.7267697674656866
279397,Damat Takimi,0,2017,109,"Comedy,Romance",2.725086351246036
102938,"Mitsos, the Laughing Stock",0,1984,88,"Comedy,Romance",2.725034818456855
122347,Searching for a Scandal,0,1973,106,"Comedy,Romance",2.7249372265092613
287180,Juliusz,0,2018,97,"Comedy,Romance",2.72032142129364
97649,Hadh Kar Di Aapne,0,2000,134,"Comedy,Romance",2.7196685912965406
12612,The Affairs of Martha,0,1942,66,"Comedy,Romance",2.718959521763185
10005,Quadrille,0,1938,95,"Comedy,Romance",2.7186189967593535
83812,Gamos Ala... Ellinika,0,1964,104,"Comedy,Romance",2.71699103740891
69070,Dog Park,0,1998,91,"Comedy,Romance",2.716573550062868
245811,Love at First Child,0,2015,91,"Comedy,Romance",2.7157012377147662
6491,Easy to Love,0,1934,61,"Comedy,Romance",2.715403959900542
152256,Marcello Marcello,0,2008,97,"Comedy,Romance",2.715309799567332
59777,All Men Are the Same,0,1994,102,"Comedy,Romance",2.714983250258043
